SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
5450.0,Edward Brooke Charter School - Roslindale,190 Cummins Highway,Roslindale,BOSTON,MA,02131,Jon Clark,617-325-7977,617-325-2260,"K,1,2,3,5,6,7,8",CHA,POINT (-71.122003567999968 42.281689939000046),-71.12200356799997,42.281689939000046,non_public_schools.csv,2025-11-30 19:58:12
5490.0,Excel Academy Charter School - East Boston,58 Moore St.,East Boston,BOSTON,MA,02128,Komal Bhasin,617-561-1371,617-561-1378,"5,6,7,8",CHA,POINT (-71.018670274999977 42.382784314000048),-71.01867027499998,42.38278431400005,non_public_schools.csv,2025-11-30 19:58:12
5431.0,MATCH Charter Public High School,1001 Commonwealth Avenue,Boston,BOSTON,MA,02215,Jorge Miranda,617-232-0300,617-232-2838,"9,10,11,12",CHA,POINT (-71.120984039999939 42.352149347000079),-71.12098403999994,42.35214934700008,non_public_schools.csv,2025-11-30 19:58:12
5700.0,Neighborhood House Charter School,21 Queen Street,Dorchester,BOSTON,MA,02122,Kevin Andrews,617-825-0703,617-825-1829,"PK,K,1,2,3,4,5,6,7,8",CHA,POINT (-71.053471384999966 42.293335600000034),-71.05347138499997,42.293335600000034,non_public_schools.csv,2025-11-30 19:58:12
8027.0,Cathedral High,74 Union Park,Boston,BOSTON,MA,02118,Christol Murch,617-542-2325,617-542-1745,"9,10,11,12",PRI,POINT (-71.068847234999964 42.341101515000048),-71.06884723499996,42.34110151500005,non_public_schools.csv,2025-11-30 19:58:12
350702.0,The Advent School,15 Brimmer Street,Boston,BOSTON,MA,02108,Nicole A. DuFauchard,617-742-0520,--,"K,1,2,3,4,5,6",PRI,POINT (-71.072044916999971 42.358347295000044),-71.07204491699997,42.35834729500005,non_public_schools.csv,2025-11-30 19:58:12
8168.0,St John Elementary,9 Moon,Boston,BOSTON,MA,02113,Karen McLaughlin,617-227-3143,617-227-2188,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.052861385999961 42.363878616000079),-71.05286138599996,42.36387861600008,non_public_schools.csv,2025-11-30 19:58:12
350705.0,Berea SDA Academy,800 Morton St.,Mattapan,BOSTON,MA,02126,Grafton Jones,617-436-8301,617-436-8304,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.087714390999963 42.282648553000058),-71.08771439099996,42.28264855300006,non_public_schools.csv,2025-11-30 19:58:12
8081.0,Pope John Paul II Academy (Lower MIlls),2214 Dorchester Avenue,Dorchester,BOSTON,MA,02124,George Milot,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.067173723999986 42.274431978000052),-71.06717372399999,42.274431978000045,non_public_schools.csv,2025-11-30 19:58:12
8064.0,Pope John Paul II Academy (Mattapan),120 Babson,Mattapan,BOSTON,MA,02126,Kathleen Aldridge,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.092221387999984 42.270758116000025),-71.09222138799998,42.270758116000025,non_public_schools.csv,2025-11-30 19:58:12
8065.0,Pope John Paul II Academy (Neponset),239 Neponset Avenue,Dorchester,BOSTON,MA,02122,Kate Brandley,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.049520885999982 42.290439052000067),-71.04952088599998,42.29043905200007,non_public_schools.csv,2025-11-30 19:58:12
8103.0,Saint Joseph Preparatory High School,617 Cambridge,Brighton,BOSTON,MA,02135,Tom Nunan,617-254-8383,617-254-0240,"9,10,11,12",PRI,POINT (-71.143855170999984 42.35235214800008),-71.14385517099998,42.35235214800008,non_public_schools.csv,2025-11-30 19:58:12
8071.0,South Boston Catholic Academy,866 East Broadway,South Boston,BOSTON,MA,02127,Nancy Carr,617-268-2326,--,"PK,K,1,2,3,4,5",PRI,POINT (-71.029663313999947 42.336044074000029),-71.02966331399995,42.33604407400003,non_public_schools.csv,2025-11-30 19:58:12
350724.0,Commonwealth School,151 Commonwealth Avenue,Boston,BOSTON,MA,02116,William Wharton,617-266-7525,--,"9,10,11,12",PRI,POINT (-71.078102163999972 42.352322516000072),-71.07810216399997,42.35232251600007,non_public_schools.csv,2025-11-30 19:58:12
350765.0,The Learning Project,107 Marlborough Street,Boston,BOSTON,MA,02115,Michael Mccord,617-266-8427,--,"K,1,2,3,4,5,6",PRI,POINT (-71.077245327999947 42.35350946300008),-71.07724532799995,42.35350946300008,non_public_schools.csv,2025-11-30 19:58:12
350794.0,The Newman School,247 Marlborough Street,Boston,BOSTON,MA,02116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI,POINT (-71.082399257999953 42.352081078000026),-71.08239925799995,42.352081078000026,non_public_schools.csv,2025-11-30 19:58:12
8034.0,E Boston Central Catholic,69 London,East Boston,BOSTON,MA,02128,Maryann Manfredonia,617-567-7456,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.040060252999979 42.371528407000028),-71.04006025299998,42.371528407000035,non_public_schools.csv,2025-11-30 19:58:12
350785.0,Neighborhood School,34 Peter Parley Rd,Jamaica Plain,BOSTON,MA,02130,Tricia Morrow,617-522-0880,--,"PK,K,1,2,3,4,5,6",PRI,POINT (-71.100694397999973 42.310856341000033),-71.10069439799997,42.31085634100003,non_public_schools.csv,2025-11-30 19:58:12
350882.0,St Mary Of Czestochowa,655 Dorchester Avenue,South Boston,BOSTON,MA,02127,Marie Laclaire,617-268-3766,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.057778311999982 42.327701341000079),-71.05777831199998,42.32770134100008,non_public_schools.csv,2025-11-30 19:58:12
350812.0,Paige Academy,28 Highland Avenue,Roxbury,BOSTON,MA,02119,Angela Cook,617-445-6969,--,"PK,K,1",PRI,POINT (-71.093121008999958 42.328767011000025),-71.09312100899996,42.328767011000025,non_public_schools.csv,2025-11-30 19:58:12
8588.0,Nativity Prep School,39 Lamartine Street,Jamaica Plain,BOSTON,MA,02130-0947,Dan Roy,857-728-0031,857-728-0037,"5,6,7,8",PRI,POINT (-71.101726808999956 42.321548244000041),-71.10172680899996,42.32154824400004,non_public_schools.csv,2025-11-30 19:58:12
,Mission Grammar School,94 St Alphonsus,Roxbury,BOSTON,MA,02120,Aliece Dutson,617-442-2660,--,"K,1,2,3,4,5,6,7,8",PRI,POINT (-71.100889923999944 42.333130572000073),-71.10088992399994,42.33313057200007,non_public_schools.csv,2025-11-30 19:58:12
8060.0,Sacred Heart Elementary,1035 Canterbury,Roslindale,BOSTON,MA,02131,Monica Haldiman,617-323-2500,617-325-7151,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.122280564999983 42.278304711000033),-71.12228056499998,42.27830471100003,non_public_schools.csv,2025-11-30 19:58:12
8077.0,St Columbkille Elem,25 Arlington Street,Brighton,BOSTON,MA,02135,Mary Battles,617-254-3110,617-254-3161,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.152986833999933 42.35243279000008),-71.15298683399993,42.35243279000008,non_public_schools.csv,2025-11-30 19:58:12
8028.0,Catholic Memorial,235 Baker Street,West Roxbury,BOSTON,MA,02132,Richard Chisholm,617-469-8000,617-325-0888,"7,8,9,10,11,12",PRI,POINT (-71.165780203999986 42.277692275000049),-71.16578020399999,42.27769227500005,non_public_schools.csv,2025-11-30 19:58:12
350808.0,Roxbury Latin School,101 St Theresa Avenue,West Roxbury,BOSTON,MA,02132,F Jarvis,617-325-4920,--,"7,8,9,10,11,12",PRI,POINT (-71.157087992999948 42.276116425000055),-71.15708799299995,42.276116425000055,non_public_schools.csv,2025-11-30 19:58:12
350778.0,Mother Caroline Academy,515 Blue Hill Avenue,Dorchester,BOSTON,MA,02121,Frances Butler,617-427-1177,617-427-7788,"5,6,7,8",PRI,POINT (-71.084394347999933 42.307490489000031),-71.08439434799993,42.30749048900003,non_public_schools.csv,2025-11-30 19:58:12
350740.0,Hollow Reed School,93 Sedgewick Street,Jamaica Plain,BOSTON,MA,02130,Khabria Brown,617-524-9004,--,"PK,K",PRI,POINT (-71.112024128999963 42.308233914000027),-71.11202412899996,42.30823391400003,non_public_schools.csv,2025-11-30 19:58:12
350749.0,Italian Home For Children,1125 Centre Street,Jamaica Plain,BOSTON,MA,02130,Jane A Zopatti,617-524-3116,617-983-5372,"1,2,3,4,5,6,7,8",SPE,POINT (-71.126641301999939 42.302295044000061),-71.12664130199994,42.30229504400006,non_public_schools.csv,2025-11-30 19:58:12
350947.0,Parkside Christian Academy,670 Washington Street,Dorchester,BOSTON,MA,02124,John Mallory,617-522-1841,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.070940377999989 42.288333824000063),-71.07094037799999,42.28833382400006,non_public_schools.csv,2025-11-30 19:58:12
350795.0,New Beginnings Academy,20 Central Ave,Hyde Park,BOSTON,MA,02136,Cynthia Schroder,617-364-6767,617-364-3383,"PK,K,1,2,3,4,5,6,10,12",PRI,POINT (-71.121912357999975 42.257286432000058),-71.12191235799997,42.25728643200006,non_public_schools.csv,2025-11-30 19:58:12
350805.0,Park Street School,67 Brimmer Street,Boston,BOSTON,MA,02108,Tracy Bradley,617-523-7577,617-523-7576,"K,1,2,3,4,7",PRI,POINT (-71.071715452999968 42.356395500000076),-71.07171545299997,42.35639550000008,non_public_schools.csv,2025-11-30 19:58:12
350768.0,Manville School,53 Parker Hill Ave,Boston,BOSTON,MA,02120,Hanna Savransky,617-232-8390,617-232-8399,"1,2,3,4,5,6,7,8,9,10,11",SPE,POINT (-71.110049216999982 42.330970182000044),-71.11004921699998,42.33097018200005,non_public_schools.csv,2025-11-30 19:58:12
8024.0,Cristo Rey Boston High School,100 Savin Hill Avenue,Dorchester,BOSTON,MA,02125,Elizabeth Degnan,617-825-2580,617-825-2613,"9,10,11,12",PRI,POINT (-71.053930034999951 42.312305683000034),-71.05393003499995,42.312305683000034,non_public_schools.csv,2025-11-30 19:58:12
350811.0,Shaloh House Jewish Day School,29 Chestnut Hill Avenue,Brighton,BOSTON,MA,02135,Don Rodkin,617-787-2200,617-787-4693,"PK,K,1,2,3,4",PRI,POINT (-71.154297712999949 42.347875610000074),-71.15429771299995,42.347875610000074,non_public_schools.csv,2025-11-30 19:58:12
8037.0,Holy Name Elementary,535 W Roxbury Pkwy,West Roxbury,BOSTON,MA,02132,Robert Arciero,617-325-9338,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.148452044999942 42.288061022000079),-71.14845204499994,42.28806102200008,non_public_schools.csv,2025-11-30 19:58:12
350824.0,St Anne Elementary,20 Como Rd,Hyde Park,BOSTON,MA,02136,Jane Trumpis,617-361-3563,--,"K,1,2,3,4,5,6,7,8",PRI,POINT (-71.136978420999981 42.240133606000029),-71.13697842099998,42.24013360600003,non_public_schools.csv,2025-11-30 19:58:12
8096.0,St Theresa Elementary,40 St Theresa Avenue,West Roxbury,BOSTON,MA,02132,Virginia Kelleher,617-323-1050,617-323-8118,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.157943623999984 42.278295455000034),-71.15794362399998,42.278295455000034,non_public_schools.csv,2025-11-30 19:58:12
8070.0,St Brendan Elementary,29 Rita Rd,Dorchester,BOSTON,MA,02124,Ida Ring,617-282-3388,--,"K,1,2,3,4,5,6,7,8",PRI,POINT (-71.051244738999969 42.281909739000071),-71.05124473899997,42.28190973900007,non_public_schools.csv,2025-11-30 19:58:12
350890.0,St Peter Academy,518 E Sixth Street,South Boston,BOSTON,MA,02127,David Romanosky,617-268-0750,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.039699601999985 42.333215541000072),-71.03969960199998,42.33321554100007,non_public_schools.csv,2025-11-30 19:58:12
350809.0,Seaport Campus School,197 Eighth Street,Charlestown,BOSTON,MA,02129,Alex Christos Tsonas,617-241-3871,617-241-7452,"8,9,10,11,12",SPE,POINT (-71.050273766999965 42.375695891000078),-71.05027376699996,42.37569589100008,non_public_schools.csv,2025-11-30 19:58:12
350729.0,Epiphany School,154 Centre Street,Dorchester,BOSTON,MA,02124,John Finley,617-326-0425,617-326-0424,"5,6,7,8",PRI,POINT (-71.066136871999959 42.292556058000059),-71.06613687199996,42.29255605800006,non_public_schools.csv,2025-11-30 19:58:12
350760.0,The Kingsley Montessori School,30 Fairfield Street,Boston,BOSTON,MA,02116,Carole Forbes,617-226-4900,--,"PK,K,1,2,3,4,5,6",PRI,POINT (-71.082218462999947 42.350289923000048),-71.08221846299995,42.35028992300005,non_public_schools.csv,2025-11-30 19:58:12
350910.0,The Winsor School,103 Pilgrim Rd,Boston,BOSTON,MA,02215,Carolyn McClintock,617-735-9500,--,"5,6,7,8,9,10,11,12",PRI,POINT (-71.10754658999997 42.34102288400004),-71.10754658999997,42.34102288400004,non_public_schools.csv,2025-11-30 19:58:12
350813.0,Boston University Academy,1 University Road,Boston,BOSTON,MA,02215,James Berkman,617-353-9000,617-353-8999,"9,10,11,12",PRI,POINT (-71.109790913999973 42.351020237000057),-71.10979091399997,42.35102023700006,non_public_schools.csv,2025-11-30 19:58:12
350758.0,Kennedy Day School,"30 Warren St, c/o Franciscan Childrens Hospital",Brighton,BOSTON,MA,02135,Bonnie Paulino Lanen,617-254-3800,617-779-1639,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",SPE,POINT (-71.142544567999948 42.349972278000052),-71.14254456799995,42.349972278000045,non_public_schools.csv,2025-11-30 19:58:12
8023.0,Boston College High,150 Morrissey Blvd,Dorchester,BOSTON,MA,02125,Stephen Hughes,617-474-5010,617-474-5015,"9,10,11,12",PRI,POINT (-71.045640899999967 42.316734466000071),-71.04564089999997,42.31673446600007,non_public_schools.csv,2025-11-30 19:58:12
460865.0,Boston Trinity Academy,17 Hale St.,Boston,BOSTON,MA,02136,Timothy Wiens,617-364-3700,617-364-3800,"6,7,8,9,10,11,12",PRI,POINT (-71.128686450999965 42.259230425000055),-71.12868645099996,42.259230425000055,non_public_schools.csv,2025-11-30 19:58:12
490855.0,German International School Boston,57 Holton Street,Allston,BOSTON,MA,02134,Christian Nitschke,617-783-2600,617-783-2605,"PK,K,1,2,3,4,5,6,7",PRI,POINT (-71.136105089999944 42.360401161000027),-71.13610508999994,42.36040116100003,non_public_schools.csv,2025-11-30 19:58:12
8089.0,Pope John Paul II Academy (Columbia Road),790 Columbia Road,Dorchester,BOSTON,MA,02125,Claire Sheridan,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.058004384999947 42.320549471000049),-71.05800438499995,42.32054947100005,non_public_schools.csv,2025-11-30 19:58:12
5100.0,City On A Hill Charter Public School - Circuit Street,58 Circuit Street,Roxbury,BOSTON,MA,02119,Cristin Berry,617-445-1515,617-445-9153,"9,10,11,12",CHA,POINT (-71.087635773999978 42.324016708000045),-71.08763577399998,42.324016708000045,non_public_schools.csv,2025-11-30 19:58:12
350872.0,St Matthew Elementary,33 Stanton Street,Dorchester,BOSTON,MA,02124,Mary Lanata,617-825-7955,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.080191924999951 42.284915978000072),-71.08019192499995,42.28491597800007,non_public_schools.csv,2025-11-30 19:58:12
350791.0,The Knight Children's Center,161 South Huntington Ave,Jamaica Plain,BOSTON,MA,02130,Pamela M Nolan,617-264-5349,617-232-7925,"2,3,4,5,6,7,8,9",SPE,POINT (-71.111677275999966 42.327041476000034),-71.11167727599997,42.32704147600003,non_public_schools.csv,2025-11-30 19:58:12
350720.0,Children's Learning Center,7 Murray Hill Rd.,Roslindale,BOSTON,MA,02131,Francis Campbell,617-327-2538,--,"PK,K,1,2,3,4,5,6",PRI,POINT (-71.126699192999979 42.287267935000045),-71.12669919299998,42.287267935000045,non_public_schools.csv,2025-11-30 19:58:12
5501.0,Boston Collegiate Charter School (Lower School),215 Sydney Street,Dorchester,BOSTON,MA,02125,,,,,CHA,POINT (-71.052416980999965 42.318818718000045),-71.05241698099996,42.318818718000045,non_public_schools.csv,2025-11-30 19:58:12
5432.0,MATCH Charter Community Day School,100 Poydras Street,Mattapan,BOSTON,MA,02126,,617-983-0300,617-983-0332,"PK, K, 1, 2, 3, 4",CHA,POINT (-71.106681228999946 42.261633935000077),-71.10668122899995,42.26163393500008,non_public_schools.csv,2025-11-30 19:58:12
5480.0,KIPP Academy Boston - Middle School,384 Warren Street,Roxbury,BOSTON,MA,02119,Emily Hepler,617-238-7300,617-652-7461,"5,6,7,8",CHA,POINT (-71.081832730999963 42.317898780000064),-71.08183273099996,42.317898780000064,non_public_schools.csv,2025-11-30 19:58:12
5430.0,MATCH Charter Public Middle School,215 Forest Hills St.,Jamaica Plain,BOSTON,MA,02130,,857-203-9668,857-203-9666,"5,6,7,8",CHA,POINT (-71.103766767999957 42.305104118000031),-71.10376676799996,42.30510411800003,non_public_schools.csv,2025-11-30 19:58:12
5540.0,Bridge Boston Charter School (K1-1),2 McLellan Street,Dorchester,BOSTON,MA,02121,,,,"K, 1",CHA,POINT (-71.085440585999947 42.301195969000048),-71.08544058599995,42.30119596900005,non_public_schools.csv,2025-11-30 19:58:12
5451.0,Edward Brooke Charter School - Mattapan,150 American Legion Highway,Dorchester,BOSTON,MA,02124,,,,,CHA,POINT (-71.092494844999976 42.294821103000061),-71.09249484499998,42.29482110300006,non_public_schools.csv,2025-11-30 19:58:12
5530.0,Dorchester Collegiate Academy,131 Hancock St.,Dorchester,BOSTON,MA,02125,Donna Green-Ford,617-379-3029,,,CHA,POINT (-71.063395008999976 42.311304466000081),-71.06339500899998,42.31130446600008,non_public_schools.csv,2025-11-30 19:58:12
5302.0,Roxbury Prep - Dorchester,206 Magnolia St.,Dorchester,BOSTON,MA,02121,Dana Lehman,617-858-2300,617-275-5760,"6,7,8",CHA,POINT (-71.073648936999973 42.311359620000076),-71.07364893699997,42.31135962000008,non_public_schools.csv,2025-11-30 19:58:12
5452.0,Edward Brooke Charter School - East Boston,94 Horace Street,East Boston,BOSTON,MA,02128,,,,,CHA,POINT (-71.016236686999946 42.382725273000062),-71.01623668699995,42.38272527300006,non_public_schools.csv,2025-11-30 19:58:12
5491.0,Excel Academy Charter School - Orient Heights,1150 Saratoga St.,East Boston,BOSTON,MA,02124,,,,,CHA,POINT (-70.999451970999985 42.384359608000068),-70.99945197099998,42.38435960800006,non_public_schools.csv,2025-11-30 19:58:12
5101.0,City On A Hill Charter Public School - Dudley Square,2181 Washington Street,Roxbury,BOSTON,MA,02119,Sonya Pratt,617-516-5888,617-445-9153,"9,10,11,12",CHA,POINT (-71.082702185999949 42.331610266000041),-71.08270218599995,42.33161026600004,non_public_schools.csv,2025-11-30 19:58:12
5200.0,Conservatory Lab Charter School - Dorchester,2120 Dorchester Avenue,Dorchester,BOSTON,MA,02124,Robyn Pretlow,617-254-8904,617-254-8909,"3, 4, 5, 6, 7, 8",CHA,POINT (-71.065980525999976 42.276868573000058),-71.06598052599998,42.27686857300006,non_public_schools.csv,2025-11-30 19:58:12
5301.0,Roxbury Prep - Lucy Stone,22 Regina Road,Dorchester,BOSTON,MA,02124,Dana Lehman,617-979-0115,617-822-7527,"6,7,8",CHA,POINT (-71.070837038999969 42.295549510000058),-71.07083703899997,42.29554951000006,non_public_schools.csv,2025-11-30 19:58:12
5800.0,Youth Build Boston,27 Centre Street,Roxbury,BOSTON,MA,02119,,,,,CHA,POINT (-71.093132139999966 42.329816943000026),-71.09313213999997,42.329816943000026,non_public_schools.csv,2025-11-30 19:58:12
5541.0,Bridge Boston Charter School (2-4),18 Samoset Street,Dorchester,BOSTON,MA,02124,,,,"2, 3, 4",CHA,POINT (-71.064182258999949 42.291476454000076),-71.06418225899995,42.29147645400008,non_public_schools.csv,2025-11-30 19:58:12
5492.0,Excel Academy Charter High School,7 Elkins Street,South Boston,BOSTON,MA,02127,Nina Keough,617-874-4143,--,"9, 10, 11, 12",CHA,POINT (-71.035815008999975 42.339260036000042),-71.03581500899998,42.33926003600004,non_public_schools.csv,2025-11-30 19:58:12
5481.0,KIPP Academy Boston - Elementary School,6 Tchapitoulas Street,Mattapan,BOSTON,MA,02126,Emily Hepler,617-238-7300,617-652-7461,"K,1,2,3,4",CHA,POINT (-71.105527666999933 42.261349101000064),-71.10552766699993,42.261349101000064,non_public_schools.csv,2025-11-30 19:58:12
5303.0,Roxbury Prep - High School,86 Wachusett Street,Jamaica Plain,BOSTON,MA,02130,Shradha m Patel,--,--,"9,10,11,12",CHA,POINT (-71.114540492999936 42.295058414000039),-71.11454049299994,42.29505841400004,non_public_schools.csv,2025-11-30 19:58:12
8662.0,Elizabeth Seton Academy,2220 Dorchester Ave,Dorchester,BOSTON,MA,02124,Patricia Leitsinger,617-296-1087,--,"9,10,11,12",PRI,POINT (-71.066839628999958 42.274866460000055),-71.06683962899996,42.274866460000055,non_public_schools.csv,2025-11-30 19:58:12
,Good Shepherd School,20 Winthrop Street,Charlestown,BOSTON,MA,02129,Nicolette Clifford,617-242-8800,617-242-0016,PK,PRI,POINT (-71.061589776999938 42.373785101000067),-71.06158977699994,42.37378510100007,non_public_schools.csv,2025-11-30 19:58:12
,Julie's Family Learning Program,133 Dorchester Street,South Boston,BOSTON,MA,02127,Robert Monahan,617-269-6663,--,"PK, K",PRI,POINT (-71.047232252999947 42.334927784000058),-71.04723225299995,42.33492778400006,non_public_schools.csv,2025-11-30 19:58:12
8642.0,Notre Dame Montessori,265 Mt. Vernon Street,Dorchester,BOSTON,MA,02125,,--,--,,PRI,POINT (-71.046258126999987 42.31879269600006),-71.04625812699999,42.31879269600007,non_public_schools.csv,2025-11-30 19:58:12
8337.0,St Patrick Elementary,131 Mt. Pleasant Ave,Roxbury,BOSTON,MA,02119,Mary Lanata,617-427-3881,617-427-4529,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.076221757999974 42.324911816000053),-71.07622175799997,42.32491181600005,non_public_schools.csv,2025-11-30 19:58:12
